"","gemeente","VVD","PVV","CDA","D66","GL","SP","PVDA","CU","PVDD","50PLUS","SGP","DENK","FVD","BIJ1","JA21","VOLT","BBB"
"204","nijmegen",-0.100000000000001,-1.9,-1.8,3.8,-6.8,-4.3,0.2,-0.1,1.3,-1.1,0.1,-0.0999999999999999,2,1.4,1.4,5.1,0.2
"205","noardeast-fryslân",0.6,0.0999999999999996,-7,1.5,-3.3,-4.2,-0.0999999999999996,0.0999999999999996,0.5,-2.2,0.1,0.1,6.9,0.1,1.9,0.9,3.4
"206","noord-beveland",1.3,-2.9,-3.7,3,-2.8,-3.3,-0.4,0.7,1.2,-2.2,-0.7,-0.1,3.7,0.2,3.5,1.1,1.7
"207","noordenveld",0,-1.1,-3.2,3.4,-4.4,-2.7,-0.0999999999999996,0.300000000000001,1.1,-2.1,0,0,2.7,0.1,1.9,1.5,2
"208","noordoostpolder",-1.5,-0.5,-3.7,1.6,-2.3,-3.3,-0.0999999999999996,-0.7,0.2,-1.7,0,0.1,5.3,0.1,2.7,1.1,2.7
"209","noordwijk",-1.8,-1,-1.8,3,-3.2,-1.3,-0.6,0.1,0.6,-2.7,0,0,2,0.2,3.9,1.9,0.3
"210","nuenen, gerwen en nederwetten",1,-1.3,-3.3,4.8,-3.2,-4,-0.7,0.0999999999999999,0.6,-1.5,0,0.1,1.9,0.2,1.7,2.9,0.4
"211","nunspeet",0.6,-0.6,-4.3,1.6,-1.2,-1.4,-0.1,-0.199999999999999,0.3,-1.4,-0.800000000000001,0.1,3.4,0.2,2,0.7,1.1
"212","oegstgeest",-3.9,-1.5,-2,4.9,-4,-0.9,-1.2,-0.1,1.1,-1.5,0,0,1.4,0.4,2.3,4.5,0.2
"213","oirschot",3.9,-1.5,-5,2.8,-2.2,-5.1,0,0,0.7,-2,-0.1,0.1,1.9,0.1,2.3,1.9,2.1
"214","oisterwijk",1.3,-1.9,-3.3,5,-3.8,-3.8,0,0,0.9,-2.2,0.2,0,2,0.2,2.3,2,0.8
"215","oldambt",3.3,-2.5,-2.3,1.6,-3.9,-6,1.9,0.2,0.7,-2.8,0,0.1,4.8,0.1,1.6,0.9,1.7
"216","oldebroek",2.1,-0.699999999999999,-5,0.899999999999999,-0.7,-2,-0.2,-0.699999999999999,0.5,-1.6,-0.0999999999999996,0.1,3.5,0.1,1.7,0.7,1.3
"217","oldenzaal",1.9,-0.799999999999999,-1.4,1.1,-3.3,-4.8,0.3,0,0.5,-1.6,0,-0.5,3.3,0.1,2.2,1.9,0.9
"218","olst-wijhe",1.2,-1.2,-5.8,2.1,-3.5,-3.1,-0.5,0.2,0.5,-2.5,-0.2,-0.1,2.5,0.2,1.9,1.7,6.3
"219","ommen",2.4,0.4,-10.9,1.2,-1.7,-2.1,-0.399999999999999,-0.0999999999999996,0.9,-1.7,0.0999999999999999,0.1,3,0.2,1.7,1,5.7
"220","oost gelre",1.1,-0.199999999999999,-5.3,1.3,-3.1,-4.8,-0.5,-0.1,0.4,-2.6,-0.1,-0.1,2.9,0.1,2.9,1.3,6.7
"221","oosterhout",2.4,-3.6,-2.9,3.3,-3.5,-3.7,0.8,0.2,0.5,-2.2,0.2,-0.3,3.4,0.2,2.3,1.8,0.6
"222","ooststellingwerf",1,-0.9,-4.1,1.3,-4.7,-3.6,0,-0.2,0.6,-2.3,0.2,0.1,5.2,0.2,2.1,1.1,3.9
"223","oostzaan",-1.9,-2.4,-1.1,1,-3.3,0.3,-1.2,0,0.4,-3.2,0,0,4,0.4,3.5,1.6,0.7
"224","opmeer",-4.1,-0.5,-1.4,1.2,-3.7,-1.4,-0.9,0.1,0.6,-2.6,-0.1,0.1,4.2,0.2,3.4,1.5,2.8
"225","opsterland",-0.300000000000001,0,-3.6,2.2,-4.6,-4.2,0,-0.3,0.7,-1.8,0.1,0.1,5.2,0.1,2,1.2,3.5
